id,name,is_closed,image_url,url,mobile_url,phone,display_phone,address,display_address,latitude,longitude,review_count,categories,rating,rating_image_url,rating_image_url_small,rating_image_url_large,snippet_image_url
allstar-cafe-san-francisco,Allstar Cafe,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/0cVR4zbB-ont__AhWKlM2Q/ms.jpg,http://www.yelp.com/biz/allstar-cafe-san-francisco,http://m.yelp.com/biz/allstar-cafe-san-francisco,4158634949,1-415-863-4949,98 9th St,98 9th St,37.776229,-122.41503,32,Donuts,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media2.fl.yelpcdn.com/photo/iBqbBpS6kkMPJtjnTHSK8Q/ms.jpg
market-street-grill-san-francisco,Market Street Grill,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/0S2k30E-2VMTAthHlqj3Fg/ms.jpg,http://www.yelp.com/biz/market-street-grill-san-francisco,http://m.yelp.com/biz/market-street-grill-san-francisco,4154874414,1-415-487-4414,1231 Market St,1231 Market St,37.7781794,-122.4151572,170,American (Traditional),3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media3.fl.yelpcdn.com/photo/XAY8sIPBeVkhH7iue6MkgA/ms.jpg
caffe-trinity-san-francisco-2,Caffe Trinity,FALSE,http://s3-media4.fl.yelpcdn.com/bphoto/6LC_SorYstLOVaCvMjlU9g/ms.jpg,http://www.yelp.com/biz/caffe-trinity-san-francisco-2,http://m.yelp.com/biz/caffe-trinity-san-francisco-2,4158643333,1-415-864-3333,1145 Market St,1145 Market St,37.77935,-122.413246,21,Coffee & Tea,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media4.fl.yelpcdn.com/assets/srv0/yelp_styleguide/cc4afe21892e/assets/img/default_avatars/user_medium_square.png
coffee-mine-san-francisco,Coffee Mine,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/IN5_tfqWl3CE_FItzOMBAQ/ms.jpg,http://www.yelp.com/biz/coffee-mine-san-francisco,http://m.yelp.com/biz/coffee-mine-san-francisco,4152529795,1-415-252-9795,79 9th St,79 9th St,37.7765315,-122.415017,55,Coffee & Tea,4,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/c2f3dd9799a5/ico/stars/v1/stars_4.png,http://s3-media4.fl.yelpcdn.com/assets/2/www/img/f62a5be2f902/ico/stars/v1/stars_small_4.png,http://s3-media2.fl.yelpcdn.com/assets/2/www/img/ccf2b76faa2c/ico/stars/v1/stars_large_4.png,http://s3-media3.fl.yelpcdn.com/photo/zlkLCsIHUGI5UXSJrtR4sg/ms.jpg
family-garden-san-francisco-3,Family Garden,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/tPoupCxIaclUKwZAvxIXag/ms.jpg,http://www.yelp.com/biz/family-garden-san-francisco-3,http://m.yelp.com/biz/family-garden-san-francisco-3,4156211628,1-415-621-1628,167 11th St,167 11th St,37.7737227,-122.4161162,49,Japanese,3,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/34bc8086841c/ico/stars/v1/stars_3.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/902abeed0983/ico/stars/v1/stars_small_3.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/e8b5b79d37ed/ico/stars/v1/stars_large_3.png,http://s3-media1.fl.yelpcdn.com/photo/EO1bO9NMIFnxIypWjei72g/ms.jpg
munch-haven-san-francisco,Munch Haven,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/yJLEi6d47VdtPHh-01MxDA/ms.jpg,http://www.yelp.com/biz/munch-haven-san-francisco,http://m.yelp.com/biz/munch-haven-san-francisco,4152520247,1-415-252-0247,1244 Market St,1244 Market St,37.77830124,-122.4158173,97,Diners,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media1.fl.yelpcdn.com/photo/8YH6kZwu9vsQDjzuWRzHDQ/ms.jpg
magic-wok-san-francisco,Magic Wok,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/JvOK6x7MCsYD5J8Im4VNSQ/ms.jpg,http://www.yelp.com/biz/magic-wok-san-francisco,http://m.yelp.com/biz/magic-wok-san-francisco,4157010128,1-415-701-0128,88 9th St,88 9th St,37.7762975,-122.4150354,45,Chinese,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media1.fl.yelpcdn.com/photo/ltRNjGSMBkZ1MiKEqLIu7w/ms.jpg
slims-san-francisco-2,Slim's,FALSE,http://s3-media2.fl.yelpcdn.com/bphoto/0_KPNSE1SpTYqQSJYQgnEQ/ms.jpg,http://www.yelp.com/biz/slims-san-francisco-2,http://m.yelp.com/biz/slims-san-francisco-2,4152550333,1-415-255-0333,333 11th St,333 11th St,37.771492,-122.4132385,590,Music Venues,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media1.fl.yelpcdn.com/photo/PFkr8GHK_EB_Zymkv86EEQ/ms.jpg
fog-towne-cafe-san-francisco,Fog Towne Cafe,FALSE,http://s3-media3.fl.yelpcdn.com/bphoto/n199Mab4ssNNx8em-VZKNg/ms.jpg,http://www.yelp.com/biz/fog-towne-cafe-san-francisco,http://m.yelp.com/biz/fog-towne-cafe-san-francisco,4155031120,1-415-503-1120,1155 Market Street,1155 Market Street,37.779224,-122.413406,1,Restaurants,5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/f1def11e4e79/ico/stars/v1/stars_5.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/c7623205d5cd/ico/stars/v1/stars_small_5.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/22affc4e6c38/ico/stars/v1/stars_large_5.png,http://s3-media3.fl.yelpcdn.com/photo/S0BUIC-hNE2GESidPh8HiA/ms.jpg
cafe-asia-san-francisco,Cafe Asia,FALSE,http://s3-media1.fl.yelpcdn.com/bphoto/UJ7EBuPk9PDk27YHv9X_JA/ms.jpg,http://www.yelp.com/biz/cafe-asia-san-francisco,http://m.yelp.com/biz/cafe-asia-san-francisco,4155813630,1-415-581-3630,200 Larkin St,200 Larkin St,37.7796326,-122.4165955,55,Asian Fusion,3.5,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/5ef3eb3cb162/ico/stars/v1/stars_3_half.png,http://s3-media1.fl.yelpcdn.com/assets/2/www/img/2e909d5d3536/ico/stars/v1/stars_small_3_half.png,http://s3-media3.fl.yelpcdn.com/assets/2/www/img/bd9b7a815d1b/ico/stars/v1/stars_large_3_half.png,http://s3-media4.fl.yelpcdn.com/photo/PBq04AMCqVedP2mzrcQ4Qw/ms.jpg
